,三年一般定期儲蓄存款機動利率,三年一般定期儲蓄存款固定利率,三年五百萬元(含)以上定期儲蓄存款機動利率,三年五百萬元(含)以上定期儲蓄存款固定利率,二年 ~ 未滿三年一般定期儲蓄存款機動利率,二年 ~ 未滿三年一般定期儲蓄存款固定利率,二年 ~ 未滿三年五百萬元(含)以上定期儲蓄存款機動利率,二年 ~ 未滿三年五百萬元(含)以上定期儲蓄存款固定利率,一年 ~ 未滿二年一般定期儲蓄存款機動利率,一年 ~ 未滿二年一般定期儲蓄存款固定利率,一年 ~ 未滿二年五百萬元(含)以上定期儲蓄存款機動利率,一年 ~ 未滿二年五百萬元(含)以上定期儲蓄存款固定利率,活期儲蓄存款利率,三年一般定期存款機動利率,三年一般定期存款固定利率,三年五百萬元(含)以上定期存款機動利率,三年五百萬元(含)以上定期存款固定利率,二年 ~ 未滿三年一般定期存款機動利率,二年 ~ 未滿三年一般定期存款固定利率,二年 ~ 未滿三年五百萬元(含)以上定期存款機動利率,二年 ~ 未滿三年五百萬元(含)以上定期存款固定利率,一年 ~ 未滿二年一般定期存款機動利率,一年 ~ 未滿二年一般定期存款固定利率,一年 ~ 未滿二年五百萬元(含)以上定期存款機動利率,一年 ~ 未滿二年五百萬元(含)以上定期存款固定利率,九個月 ~ 未滿十二個月一般定期存款機動利率,九個月 ~ 未滿十二個月一般定期存款固定利率,九個月 ~ 未滿十二個月五百萬元(含)以上定期存款機動利率,九個月 ~ 未滿十二個月五百萬元(含)以上定期存款固定利率,六個月 ~ 未滿九個月一般定期存款機動利率,六個月 ~ 未滿九個月一般定期存款固定利率,六個月 ~ 未滿九個月五百萬元(含)以上定期存款機動利率,六個月 ~ 未滿九個月五百萬元(含)以上定期存款固定利率,三個月 ~ 未滿六個月一般定期存款機動利率,三個月 ~ 未滿六個月一般定期存款固定利率,三個月 ~ 未滿六個月五百萬元(含)以上定期存款機動利率,三個月 ~ 未滿六個月五百萬元(含)以上定期存款固定利率,一個月 ~ 未滿三個月一般定期存款機動利率,一個月 ~ 未滿三個月一般定期存款固定利率,一個月 ~ 未滿三個月五百萬元(含)以上定期存款機動利率,一個月 ~ 未滿三個月五百萬元(含)以上定期存款固定利率,活期存款利率,薪資轉帳活期儲蓄存款,證券戶活期儲蓄存款,基本放款利率,信用卡循環信用差別利率第一級,信用卡循環信用差別利率第二級,信用卡循環信用差別利率第三級,信用卡循環信用差別利率第四級,信用卡循環信用差別利率第五級,基準利率(按月),基準利率(按季),定儲利率指數(按月),定儲利率指數(按季),中華郵政一年期定期儲金機動利率(未達五百萬元),中華郵政二年期定期儲金機動利率(未達五百萬元),Unnamed: 56,日期
10,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-11
11,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-12
12,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-13
13,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-14
14,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-15
15,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-16
16,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-17
17,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-18
18,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-19
19,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-20
20,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-21
21,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-22
22,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-23
23,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-24
24,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-25
25,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-26
26,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-27
27,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-28
28,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-29
29,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-30
30,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-01-31
31,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-01
32,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-02
33,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-03
34,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-04
35,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-05
36,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-06
37,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-07
38,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-08
39,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-09
40,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-10
41,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-11
42,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-12
43,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-13
44,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-14
45,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-02-15
